,PE_TTM,DIVIDENDYIELD2,CLOSE
2020-02-18,43.09049987792969,0.3442,5153.21
2020-02-19,43.30329895019531,0.3419,5176.76
2020-02-20,43.428001403808594,0.341,5243.34
2020-02-21,42.66889953613281,0.3475,5167.97
2020-02-24,41.982398986816406,0.3554,5159.99
2020-02-25,43.01219940185547,0.3462,5253.67
2020-02-26,42.5984992980957,0.3494,5139.22
2020-02-27,42.700801849365234,0.3486,5172.47
2020-02-28,41.14289855957031,0.3618,4937.2
2020-03-02,41.81809997558594,0.3572,5070.9
2020-03-03,41.99729919433594,0.3547,5066.41
2020-03-04,42.065799713134766,0.3545,5063.72
2020-03-05,43.17779922485352,0.3444,5155.6
2020-03-06,42.1879997253418,0.3525,5080.8
2020-03-09,40.03049850463867,0.3707,4800.43
2020-03-10,40.73979949951172,0.3628,4894.0
2020-03-11,40.12519836425781,0.3686,4790.95
2020-03-12,38.38859939575195,0.3852,4542.3
2020-03-13,38.41559982299805,0.3848,4546.4
2020-03-16,35.34260177612305,0.4134,4153.53
2020-03-17,35.762901306152344,0.4067,4142.6
2020-03-18,31.71940040588379,0.4284,3908.17
2020-03-19,31.96139907836914,0.4223,3862.3
2020-03-20,33.969200134277344,0.3982,4137.69
2020-03-23,32.677101135253906,0.4133,3938.52
2020-03-24,34.44660186767578,0.3933,4148.63
2020-03-25,35.999698638916016,0.377,4351.72
2020-03-26,35.751800537109375,0.3761,4337.44
2020-03-27,36.3578987121582,0.3764,4314.67
2020-03-30,32.74169921875,0.3827,4217.91
2020-03-31,33.6682014465332,0.3756,4372.12
2020-04-01,33.15729904174805,0.3812,4310.6
2020-04-02,33.65530014038086,0.3757,4382.18
2020-04-03,33.2963981628418,0.3795,4319.55
2020-04-07,34.56840133666992,0.3662,4557.01
2020-04-08,34.24649810791016,0.3692,4507.56
2020-04-09,34.613800048828125,0.3647,4511.43
2020-04-10,34.613800048828125,0.3647,4511.43
2020-04-13,34.613800048828125,0.3647,4511.43
2020-04-14,34.79710006713867,0.3623,4496.93
2020-04-15,34.867000579833984,0.3615,4531.6
2020-04-16,35.61000061035156,0.3529,4581.4
2020-04-17,35.91550064086914,0.3501,4634.2
2020-04-20,35.94770050048828,0.3413,4672.15
2020-04-21,35.20790100097656,0.3487,4555.55
2020-04-22,35.840599060058594,0.3422,4581.71
2020-04-23,35.93339920043945,0.3412,4575.99
2020-04-24,35.44020080566406,0.3457,4487.88
2020-04-27,35.94860076904297,0.3408,4528.78
2020-04-28,36.365501403808594,0.337,4601.9
2020-04-29,36.53329849243164,0.3362,4611.03
2020-04-30,36.53329849243164,0.3339,4611.03
2020-05-06,36.493499755859375,0.3352,4729.56
2020-05-07,36.310001373291016,0.3371,4723.17
2020-05-08,37.282501220703125,0.3279,4830.81
2020-05-11,38.29819869995117,0.3184,4872.58
2020-05-12,38.17020034790039,0.3195,4899.89
2020-05-13,38.26440048217773,0.3185,4920.31
2020-05-14,38.49700164794922,0.3172,4970.99
2020-05-15,38.07590103149414,0.5213,5023.35
2020-05-18,38.06610107421875,0.3491,4908.94
2020-05-19,38.87379837036133,0.3418,5058.55
2020-05-20,40.14030075073242,0.3347,5127.44
2020-05-21,39.54040145874024,0.3399,5015.84
2020-05-22,37.44110107421875,0.3586,4730.16
2020-05-25,38.149200439453125,0.3524,4845.0
2020-05-26,39.23260116577149,0.3554,4966.92
2020-05-27,38.651798248291016,0.3769,4881.83
2020-05-28,37.80680084228516,0.3845,4785.88
2020-05-29,38.41299819946289,0.3789,4887.54
2020-06-01,39.95550155639648,0.3513,5076.8
